Tag/Group,Method,Path Endpoint,Summary,Description,Parameters,Has Request Body,Response Codes
Authentication,POST,/auth/login,เข้าสู่ระบบ,ตรวจสอบ email + password แล้วออก JWT token pair  - Access token (30 นาที) - Refresh token (7 วัน),-,Yes,"200, 422"
Authentication,POST,/auth/logout,ออกจากระบบ,ออกจากระบบ — client ควรลบ token ออกจาก storage  (Stateless JWT: ฝั่ง server ไม่ได้ blacklist token แต่ยืนยันว่า token ยัง valid ก่อนตอบ),-,No,200
Authentication,GET,/auth/me,ดูข้อมูลผู้ใช้ปัจจุบัน,ดึงข้อมูล user ที่ login อยู่,-,No,200
Authentication,POST,/auth/refresh,ต่ออายุ token,ใช้ refresh token เพื่อขอ access token ใหม่  - ตรวจสอบว่า refresh token ยัง valid - ออก access + refresh token ใหม่ทั้งคู่ (token rotation),-,Yes,"200, 422"
Authentication,POST,/auth/signup,สมัครสมาชิกใหม่,สร้างบัญชีผู้ใช้ใหม่  - ตรวจสอบ email / username ซ้ำ - Hash password ด้วย bcrypt - บันทึกลง PostgreSQL,-,Yes,"201, 422"
Health,GET,/,Root Health Endpoint,Health check endpoint ระดับรากของเซิร์ฟเวอร์,-,No,200
Label Studio Annotation,GET,/annotation/projects,เรียกดูรายการโครงการทั้งหมดใน Label Studio (List Projects),ดึงรายชื่อโครงการทั้งหมดที่ลงทะเบียนไว้ในระบบ Label Studio,-,No,200
Label Studio Annotation,GET,/annotation/projects/{project_id}/tasks,เรียกดูรายการ Task ข้อมูลในโครงการ Label Studio (List Tasks),ดึงรายการข้อมูล (Tasks) ภายในโครงการ Label Studio ที่ระบุ,"project_id (path, Required); limit (query, Optional)",No,"200, 422"
ML Training Pipeline,POST,/training/dataset/download,ดาวน์โหลด Dataset จาก HuggingFace → เก็บใน MinIO,ดาวน์โหลด Dataset จาก HuggingFace Hub แล้วบันทึกเป็น Parquet files ใน MinIO  **Bucket ที่ใช้เก็บ:** `datasets/{dataset_name}/{split}.parquet`  **Dataset ที่รองรับ (Token Classification):** - `conll2003` — Named Entity Recognition (NER) มาตรฐาน,-,Yes,"200, 422"
ML Training Pipeline,POST,/training/enqueue,เข้าคิวสั่งเทรน Model (Scheduled Queue),ส่งคำสั่งเทรน Token Classification Model เข้า ARQ Task Queue พร้อมกำหนดเวลาเริ่มงาน  **การทำงาน:** 1. รับพารามิเตอร์การเทรน + `scheduled_at` (วันเวลาที่ต้องการให้เริ่ม) 2. ส่ง Job เข้า Redis Queue ด้วย `_defer_until=scheduled_at` 3. Trainer Worker จะตรวจสอบ Queue และเริ่มทำงานเมื่อถึงเวลาที่กำหนดเท่านั้น  **Trainer Worker จะทำ:** - โหลด Dataset จาก MinIO - Tokenize + Align Labels ตาม HuggingFace Chapter 7 - เทรนด้วย HuggingFace Trainer API (รองรับ GPU) - บันทึก Training Log → `training-logs/{job_id}/training_log.json` - บันทึก Model → `models/{job_id}/`,-,Yes,"200, 422"
ML Training Pipeline,GET,/training/jobs/{job_id},ตรวจสอบสถานะ Training Job,ดึงสถานะและผลลัพธ์ของ Training Job จาก ARQ Redis Queue,"job_id (path, Required)",No,"200, 422"
MinIO Object Storage,GET,/storage/buckets,เรียกดูรายการ Bucket ทั้งหมดใน MinIO Storage,ดึงรายการ Buckets ทั้งหมดที่มีอยู่ใน MinIO Object Storage,-,No,200
